ITEM_ID,GENRE,YEAR,CREATION_TIMESTAMP
1,Adventure|Animation|Children|Comedy|Fantasy,1995,0
2,Adventure|Children|Fantasy,1995,0
3,Comedy|Romance,1995,0
4,Comedy|Drama|Romance,1995,0
5,Comedy,1995,0
6,Action|Crime|Thriller,1995,0
7,Comedy|Romance,1995,0
8,Adventure|Children,1995,0
9,Action,1995,0
10,Action|Adventure|Thriller,1995,0
11,Comedy|Drama|Romance,1995,0
12,Comedy|Horror,1995,0
13,Adventure|Animation|Children,1995,0
14,Drama,1995,0
15,Action|Adventure|Romance,1995,0
16,Crime|Drama,1995,0
17,Drama|Romance,1995,0
18,Comedy,1995,0
19,Comedy,1995,0
20,Action|Comedy|Crime|Drama|Thriller,1995,0
21,Comedy|Crime|Thriller,1995,0
22,Crime|Drama|Horror|Mystery|Thriller,1995,0
23,Action|Crime|Thriller,1995,0
24,Drama|Sci-Fi,1995,0
25,Drama|Romance,1995,0
26,Drama,1995,0
27,Children|Drama,1995,0
28,Drama|Romance,1995,0
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,0
30,Crime|Drama,1995,0
31,Drama,1995,0
32,Mystery|Sci-Fi|Thriller,1995,0
34,Children|Drama,1995,0
36,Crime|Drama,1995,0
38,Children|Comedy,1995,0
39,Comedy|Romance,1995,0
40,Drama,1995,0
41,Drama|War,1995,0
42,Action|Crime|Drama,1995,0
43,Drama,1995,0
44,Action|Adventure|Fantasy,1995,0
45,Comedy|Drama|Thriller,1995,0
46,Drama|Romance,1995,0
47,Mystery|Thriller,1995,0
48,Animation|Children|Drama|Musical|Romance,1995,0
49,Drama|Romance,1995,0
50,Crime|Mystery|Thriller,1995,0
52,Comedy|Drama|Romance,1995,0
53,Adventure|Drama,1994,0
54,Children|Comedy,1995,0
55,Drama,1995,0
57,Drama,1995,0
58,Comedy|Drama|Romance,1994,0
60,Adventure|Children|Fantasy,1995,0
61,Drama|Thriller,1996,0
62,Drama,1995,0
63,Comedy|Crime,1996,0
64,Comedy|Romance,1996,0
65,Comedy,1996,0
66,Action|Sci-Fi|Thriller,1996,0
68,Comedy|Romance,1995,0
69,Comedy,1995,0
70,Action|Comedy|Horror|Thriller,1996,0
71,Action,1995,0
72,Comedy|Drama,1995,0
73,Drama|War,1995,0
74,Drama|Romance,1996,0
75,Comedy|Drama,1996,0
76,Action|Sci-Fi|Thriller,1995,0
77,Documentary,1995,0
78,Action|Crime|Drama|Thriller,1995,0
79,Drama|Thriller,1996,0
80,Children|Drama,1995,0
